Id;Trait;C;Name;Alias;Color
23300.0;2;0.1;Place;P;red
41347.0;19;0.1;Place;P;red
23260.0;15;0.1;Place;P;red
23266.0;12;0.1;Place;P;red
41315.0;7;0.1;Place;P;red
41328.0;17;0.1;Place;P;red
23285.0;8;0.1;Place;P;red
41351.0;9;0.1;Place;P;red
41359.0;15;0.1;Place;P;red
40996.0;11;0.1;Place;P;red
23272.0;18;0.1;Place;P;red
40967.0;11;0.1;Place;P;red
40992.0;9;0.1;Place;P;red
23447.0;19;0.1;Place;P;red
23392.0;19;0.1;Place;P;red
41335.0;13;0.1;Place;P;red
41348.0;2;0.1;Place;P;red
41374.0;12;0.1;Place;P;red
23319.0;3;0.1;Place;P;red
23308.0;14;0.1;Place;P;red
23302.0;17;0.1;Place;P;red
41318.0;19;0.1;Place;P;red
41352.0;8;0.1;Place;P;red
23311.0;11;0.1;Place;P;red
23446.0;2;0.1;Place;P;red
23301.0;8;0.1;Place;P;red
41334.0;11;0.1;Place;P;red
23310.0;2;0.1;Place;P;red
23214.0;6;0.1;Place;P;red
23158.0;17;0.1;Place;P;red
23454.0;9;0.1;Place;P;red
41373.0;12;0.1;Place;P;red
23316.0;10;0.1;Place;P;red
23146.0;11;0.1;Place;P;red
23257.0;12;0.1;Place;P;red
23288.0;8;0.1;Place;P;red
41323.0;10;0.1;Place;P;red
23238.0;8;0.1;Place;P;red
40970.0;13;0.1;Place;P;red
23440.0;15;0.1;Place;P;red
23282.0;17;0.1;Place;P;red
23296.0;14;0.1;Place;P;red
41287.0;7;0.1;Place;P;red
41372.0;4;0.1;Place;P;red
23363.0;19;0.1;Place;P;red
23269.0;18;0.1;Place;P;red
23369.0;2;0.1;Place;P;red
23305.0;18;0.1;Place;P;red
41326.0;16;0.1;Place;P;red
23166.0;11;0.1;Place;P;red
40969.0;7;0.1;Place;P;red
23331.0;16;0.1;Place;P;red
23167.0;13;0.1;Place;P;red
23320.0;6;0.1;Place;P;red
23326.0;7;0.1;Place;P;red
23385.0;16;0.1;Place;P;red
23171.0;8;0.1;Place;P;red
40971.0;13;0.1;Place;P;red
25258.0;18;0.1;Place;P;red
23457.0;5;0.1;Place;P;red
41321.0;2;0.1;Place;P;red
41340.0;16;0.1;Place;P;red
41280.0;11;0.1;Place;P;red
41327.0;10;0.1;Place;P;red
41313.0;13;0.1;Place;P;red
23312.0;3;0.1;Place;P;red
41370.0;7;0.1;Place;P;red
41371.0;4;0.1;Place;P;red
41358.0;8;0.1;Place;P;red
23215.0;15;0.1;Place;P;red
23259.0;4;0.1;Place;P;red
41361.0;9;0.1;Place;P;red
23339.0;12;0.1;Place;P;red
23222.0;7;0.1;Place;P;red
23443.0;16;0.1;Place;P;red
23328.0;2;0.1;Place;P;red
23444.0;13;0.1;Place;P;red
41349.0;17;0.1;Place;P;red
41365.0;16;0.1;Place;P;red
41333.0;19;0.1;Place;P;red
23333.0;9;0.1;Place;P;red
23321.0;6;0.1;Place;P;red
23293.0;2;0.1;Place;P;red
23313.0;8;0.1;Place;P;red
41330.0;3;0.1;Place;P;red
41298.0;5;0.1;Place;P;red
41305.0;18;0.1;Place;P;red
23279.0;13;0.1;Place;P;red
23306.0;9;0.1;Place;P;red
23169.0;18;0.1;Place;P;red
23273.0;16;0.1;Place;P;red
40980.0;17;0.1;Place;P;red
40985.0;7;0.1;Place;P;red
41353.0;11;0.1;Place;P;red
40968.0;5;0.1;Place;P;red
23442.0;11;0.1;Place;P;red
41336.0;10;0.1;Place;P;red
41367.0;9;0.1;Place;P;red
23292.0;3;0.1;Place;P;red
41337.0;19;0.1;Place;P;red
